Sample_id	Linear/Branching	Distinct genotypes
AML_01_001	Linear	5
AML_09_001	Branching	6
AML_44_001	Branching	5
AML_66_001	Branching	7
AML_04_001	Branching	6
AML_70_001	Branching	6
AML_22_001	Branching	8
AML_51_001	Branching	7
AML_16_001	Branching	6
AML_41_001	Branching	5
AML_15_001	Linear	3
AML_69_001	Branching	6
AML_53_001	Branching	6
AML_27_001	Linear	3
AML_52_001	Linear	3
AML_40_001	Branching	8
AML_06_001	Linear	4
AML_32_001	Linear	5
AML_97_001	Linear	4
AML_76_001	Linear	4
AML_49_001	Linear	3
AML_58_001	Linear	4
AML_74_001	Branching	4
AML_54_001	Linear	5
AML_02_001	Linear	5
AML_47_001	Linear	3
AML_34_001	Linear	3
AML_25_001	Linear	5
AML_75_001	Branching	5
AML_21_001	Linear	3
AML_37_001	Linear	4
AML_64_001	Branching	6
AML_03_001	Linear	6
AML_31_001	Branching	3
AML_20_001	Linear	5
AML_33_001	Linear	7
AML_35_001	Branching	6
AML_73_001	Branching	6
AML_61_001	Branching	6
AML_65_001	Linear	3
AML_45_001	Branching	7
AML_19_001	Branching	5
AML_26_001	Branching	7
AML_48_001	Linear	4
AML_96_001	Branching	6
AML_68_001	Branching	5
AML_38_001	Branching	9
AML_39_001	Linear	4
AML_30_001	Linear	5
AML_56_001	Linear	4
AML_60_001	Linear	3
AML_36_001	Branching	7
AML_43_001	Linear	4
AML_14_001	Branching	8
AML_07_001	Linear	7
AML_17_001	Linear	4
AML_28_001	Branching	6
AML_55_001	Branching	5
AML_13_001	Branching	9
AML_62_001	Branching	6
AML_23_001	Branching	5
AML_29_001	Linear	4
AML_59_001	Linear	4
AML_18_001	Linear	7
AML_12_001	Branching	6
AML_57_001	Linear	5
AML_63_001	Branching	4
AML_08_001	Linear	4
AML_50_001	Linear	5
AML_77_001	Branching	8
AML_93_001	Linear	4
AML_85_001	Branching	9
AML_111_001	Branching	4
AML_122_001	Branching	6
AML_78_001	Branching	5
AML_81_001	Branching	3
AML_89_001	Branching	7
AML_10_001	Linear	4
AML_118_001	Branching	5
AML_87_001	Branching	4
AML_11_001	Linear	3
AML_91_001	Branching	8
AML_104_001	Branching	5
AML_84_001	Linear	2
AML_103_001	Branching	5
AML_99_001	Branching	5
AML_112_001	Linear	2
AML_110_001	Branching	4
AML_120_001	Linear	4
AML_117_001	Linear	2
AML_86_001	Branching	7
AML_123_001	Linear	5
AML_95_001	Branching	9
AML_119_001	Linear	2
AML_92_001	Branching	6
AML_121_001	Branching	7
AML_83_001	Linear	4
AML_107_001	Linear	4
AML_72_001	Branching	7
AML_100_001	Branching	8
AML_114_001	Linear	5
AML_42_001	Branching	8
AML_71_001	Linear	4
AML_24_001	Linear	3
AML_116_001	Branching	6
AML_98_001	Branching	8
AML_90_001	Branching	4
AML_108_001	Linear	3
AML_115_001	Linear	2
AML_101_001	Linear	2
AML_79_001	Branching	8
AML_88_001	Linear	2
AML_109_001	Branching	5
AML_105_001	Branching	5
AML_67_001	Branching	5
AML_05_001	Branching	2
AML_102_001	Linear	2
AML_94_001	Branching	5
AML_113_001	Linear	7
AML_46_001	Branching	7
AML_106_001	Linear	3
AML_82_001	Branching	5
AML_80_001	Linear	4
