Sample_id	Linear/Branching	Distinct genotypes
AML_01_001	Linear	5
AML_09_001	Branching	6
AML_44_001	Branching	5
AML_66_001	Branching	7
AML_04_001	Branching	6
AML_70_001	Branching	6
AML_22_001	Branching	8
AML_51_001	Branching	7
AML_16_001	Branching	6
AML_41_001	Branching	5
AML_15_001	Linear	3
AML_69_001	Branching	6
AML_53_001	Branching	6
AML_27_001	Linear	3
AML_52_001	Linear	3
AML_40_001	Branching	8
AML_06_001	Linear	4
AML_32_001	Linear	5
AML_97_001	Linear	4
AML_76_001	Linear	4
AML_49_001	Linear	3
AML_58_001	Linear	4
AML_74_001	Branching	4
AML_54_001	Linear	5
AML_02_001	Linear	5
AML_47_001	Linear	3
AML_34_001	Linear	3
AML_25_001	Linear	5
AML_75_001	Branching	5
AML_21_001	Linear	3
AML_37_001	Linear	4
AML_64_001	Branching	6
AML_03_001	Linear	6
AML_31_001	Branching	3
AML_20_001	Linear	5
AML_33_001	Linear	7
AML_35_001	Branching	6
AML_73_001	Branching	6
AML_61_001	Branching	6
AML_65_001	Linear	3
AML_45_001	Branching	7
AML_19_001	Branching	5
AML_26_001	Branching	7
AML_48_001	Linear	4
AML_96_001	Branching	6
AML_68_001	Branching	5
AML_38_001	Branching	9
AML_39_001	Linear	4
AML_30_001	Linear	5
AML_56_001	Linear	4
AML_60_001	Linear	3
AML_36_001	Branching	7
AML_43_001	Linear	4
AML_14_001	Branching	8
AML_07_001	Linear	7
AML_17_001	Linear	4
AML_28_001	Branching	6
AML_55_001	Branching	5
AML_13_001	Branching	9
AML_62_001	Branching	6
AML_23_001	Branching	5
AML_29_001	Linear	4
AML_59_001	Linear	4
AML_18_001	Linear	7
AML_12_001	Branching	6
AML_57_001	Linear	5
AML_63_001	Branching	4
AML_08_001	Linear	4
AML_50_001	Linear	5
