Sample_id	Linear/Branching	Distinct genotypes
AML_77_001	Linear	3
AML_99_005	Branching	6
AML_93_001	Linear	4
AML_85_001	Branching	7
AML_111_001	Branching	4
AML_122_001	Branching	6
AML_88_001_10	Linear	4
AML_78_001	Branching	4
AML_81_001	Branching	3
AML_89_001	Branching	5
AML_67_001_PDX1	Linear	2
AML_99_003	Linear	4
AML_10_001	Linear	4
AML_118_001	Branching	5
AML_87_001	Branching	4
AML_11_001	Linear	3
AML_91_001	Branching	7
AML_104_001	Branching	5
AML_84_001	Linear	2
AML_88_002	Branching	3
AML_103_001	Branching	5
AML_99_001	Linear	4
AML_112_001	Linear	2
AML_110_001	Branching	4
AML_67_001_PDX2	Branching	4
AML_99_004	Branching	4
AML_120_001	Linear	4
AML_117_001	Linear	2
AML_107_002	Linear	6
AML_86_001	Branching	5
AML_123_001	Linear	5
AML_95_001	Branching	6
AML_119_001	Linear	2
AML_92_001	Branching	6
AML_121_001	Branching	7
AML_83_001	Linear	3
AML_107_001	Branching	4
AML_72_001	Branching	3
AML_100_001	Branching	7
AML_114_001	Linear	3
AML_42_001	Linear	5
AML_71_001	Linear	3
AML_24_001	Linear	3
AML_116_001	Branching	6
AML_98_001	Linear	5
AML_90_001	Branching	4
AML_108_001	Linear	3
AML_83_002	Branching	6
AML_115_001	Linear	2
AML_101_001	Linear	2
AML_79_001	Branching	5
AML_88_001_07	Linear	4
AML_88_05	Branching	2
AML_88_001	Linear	2
AML_109_001	Linear	2
AML_105_001	Branching	5
AML_99_002	Linear	3
AML_67_001	Branching	5
AML_05_001	Branching	2
AML_102_001	Linear	2
AML_94_001	Branching	2
AML_113_001	Linear	7
AML_46_001	Linear	4
AML_106_001	Linear	3
AML_82_001	Branching	4
AML_80_001	Linear	4
