Sample_id	Linear/Branching	Distinct genotypes
AML_01_001	Linear	5
AML_09_001	Branching	5
AML_44_001	Branching	5
AML_66_001	Branching	7
AML_04_001	Branching	6
AML_97_002	Linear	1
AML_70_001	Branching	5
AML_22_001	Branching	8
AML_51_001	Branching	5
AML_18_002	Linear	5
AML_39_002	Branching	4
AML_63_004	Linear	2
AML_41_001_PDX4_BM	Branching	3
AML_16_001	Branching	5
AML_41_001_PDX1_BM	Branching	3
AML_41_001	Branching	5
AML_41_001_PDX3_BM	Linear	3
AML_15_001	Linear	3
AML_69_001	Branching	6
AML_53_001	Branching	5
AML_27_001	Linear	3
AML_41_001_PDX1_serial2_BM	Linear	3
AML_52_001	Linear	3
AML_40_001	Branching	6
AML_07_002	Linear	3
AML_38_001_PDX1	Branching	7
AML_06_001	Linear	4
AML_04_002	Branching	6
AML_41_001_PDX3_PB	Linear	2
AML_32_001	Linear	4
AML_97_001	Linear	4
AML_76_001	Linear	3
AML_49_001	Linear	3
AML_38_003	Branching	5
AML_58_001	Linear	4
AML_63_002	Linear	3
AML_66_003	Branching	5
AML_41_001_PDX2_BM	Linear	3
AML_74_001	Branching	4
AML_54_001	Linear	4
AML_02_001	Linear	4
AML_38_002	Branching	5
AML_47_001	Linear	3
AML_34_001	Linear	3
AML_41_001_PDX1_PB	Linear	3
AML_41_001_PDX2_PB	Linear	3
AML_97_003	Linear	2
AML_25_001	Branching	5
AML_75_001	Branching	5
AML_21_001	Linear	3
AML_37_001	Linear	4
AML_64_001	Linear	5
AML_63_005	Linear	3
AML_03_001	Linear	6
AML_63_003	Linear	3
AML_31_001	Branching	3
AML_21_002	Linear	3
AML_20_001	Linear	4
AML_09_002	Branching	5
AML_33_001	Linear	5
AML_01_002	Branching	6
AML_35_001	Branching	6
AML_73_001	Branching	6
AML_61_001	Branching	6
AML_65_001	Linear	3
AML_45_001	Branching	7
AML_19_001	Branching	5
AML_26_001	Branching	7
AML_66_002	Branching	4
AML_48_001	Linear	4
AML_97_006	Branching	4
AML_96_001	Branching	6
AML_68_001	Linear	4
AML_38_001	Branching	9
AML_39_001	Linear	4
AML_30_001	Linear	4
AML_56_001	Linear	4
AML_60_001	Linear	3
AML_36_001	Branching	7
AML_97_004	Linear	2
AML_43_001	Linear	4
AML_14_001	Branching	8
AML_07_001	Linear	6
AML_17_001	Linear	4
AML_28_001	Branching	5
AML_97_005	Linear	2
AML_55_001	Branching	4
AML_13_001	Branching	8
AML_62_001	Branching	5
AML_41_001_PDX2_serial1_PB	Linear	3
AML_41_001_PDX2_serial2_BM	Linear	2
AML_23_001	Branching	5
AML_29_001	Branching	4
AML_59_001	Linear	4
AML_18_001	Branching	6
AML_12_001	Branching	6
AML_41_001_PDX4_PB	Branching	4
AML_57_001	Branching	4
AML_41_001_PDX1_serial1_BM	Linear	2
AML_63_001	Branching	4
AML_08_001	Linear	4
AML_04_003	Branching	4
AML_50_001	Linear	4
