patient	has_loss	num_loss
AML_01_001	False	0
AML_09_001	True	1
AML_44_001	False	0
AML_04_001	False	0
AML_16_001	False	0
AML_15_001	False	0
AML_27_001	False	0
AML_40_001	True	3
AML_06_001	False	0
AML_97_001	True	1
AML_49_001	False	0
AML_58_001	False	0
AML_54_001	True	1
AML_02_001	True	1
AML_47_001	False	0
AML_34_001	False	0
AML_25_001	False	0
AML_21_001	False	0
AML_37_001	False	0
AML_33_001	True	1
AML_73_001	False	0
AML_61_001	False	0
AML_65_001	False	0
AML_19_001	False	0
AML_48_001	False	0
AML_68_001	True	1
AML_30_001	True	1
AML_56_001	False	0
AML_60_001	False	0
AML_43_001	False	0
AML_14_001	False	0
AML_07_001	True	1
AML_17_001	False	0
AML_13_001	True	2
AML_62_001	True	2
AML_23_001	False	0
AML_29_001	False	0
AML_59_001	True	2
AML_18_001	True	1
AML_12_001	False	0
AML_57_001	True	1
AML_63_001	False	0
AML_50_001	True	1
