sample no	number of variants	no. of variants with CADD>15
AML_01_001	3	3
AML_02_001	3	3
AML_03_001	2	2
AML_04_001	8	8
AML_05_001	4	3
AML_06_001	3	3
AML_07_001	3	3
AML_08_001	3	3
AML_09_001	4	4
AML_100_001	8	6
AML_101_001	1	0
AML_102_001	2	2
AML_103_001	6	5
AML_104_001	9	3
AML_105_001	7	5
AML_106_001	2	1
AML_107_001	10	7
AML_108_001	2	2
AML_109_001	4	1
AML_10_001	3	3
AML_110_001	3	3
AML_111_001	5	4
AML_112_001	9	6
AML_113_001	3	2
AML_114_001	5	3
AML_115_001	1	0
AML_116_001	5	4
AML_117_001	9	6
AML_118_001	4	3
AML_119_001	3	1
AML_11_001	4	3
AML_120_001	4	4
AML_121_001	12	8
AML_122_001	2	1
AML_123_001	4	3
AML_12_001	6	4
AML_13_001	5	5
AML_14_001	7	7
AML_15_001	2	2
AML_16_001	3	3
AML_17_001	4	4
AML_18_001	3	3
AML_19_001	3	3
AML_20_001	3	3
AML_21_001	3	3
AML_22_001	6	6
AML_23_001	3	3
AML_24_001	4	3
AML_25_001	4	4
AML_26_001	5	5
AML_27_001	3	3
AML_28_001	3	3
AML_29_001	2	2
AML_30_001	5	5
AML_31_001	2	2
AML_32_001	2	2
AML_33_001	1	1
AML_34_001	2	2
AML_35_001	4	4
AML_36_001	3	3
AML_37_001	4	4
AML_38_001	9	9
AML_39_001	3	3
AML_40_001	3	3
AML_41_001	4	4
AML_42_001	8	6
AML_43_001	3	3
AML_44_001	6	6
AML_45_001	4	4
AML_46_001	6	6
AML_47_001	3	3
AML_48_001	2	2
AML_49_001	3	3
AML_50_001	2	2
AML_51_001	5	5
AML_52_001	2	2
AML_53_001	3	3
AML_54_001	1	1
AML_55_001	6	5
AML_56_001	1	1
AML_57_001	1	1
AML_58_001	2	2
AML_59_001	3	3
AML_60_001	2	2
AML_61_001	4	4
AML_62_001	3	3
AML_63_001	3	3
AML_64_001	1	1
AML_65_001	2	2
AML_66_001	5	4
AML_67_001	13	12
AML_68_001	4	3
AML_69_001	3	3
AML_70_001	4	4
AML_71_001	8	8
AML_72_001	6	5
AML_73_001	3	2
AML_74_001	3	2
AML_75_001	5	4
AML_76_001	2	2
AML_77_001	7	6
AML_78_001	6	5
AML_79_001	10	4
AML_80_001	4	3
AML_81_001	2	2
AML_82_001	6	5
AML_83_001	4	3
AML_84_001	6	6
AML_85_001	5	4
AML_86_001	5	4
AML_87_001	7	5
AML_88_001	3	2
AML_89_001	5	4
AML_90_001	6	6
AML_91_001	10	9
AML_92_001	7	7
AML_93_001	3	3
AML_94_001	5	4
AML_95_001	5	2
AML_96_001	7	7
AML_97_001	3	3
AML_98_001	6	4
AML_99_001	5	4
