Data	Site number	Log_BF_exonic_difference
AML_01_001	148504717	126759.7266211302
AML_01_001	28608259	222766.57572964515
AML_44_001	32417913	80062.70860841617
AML_44_001	32417914	80878.88604312474
AML_44_001	32417946	25237.100214861995
AML_44_001	32417947	18689.87481128012
AML_04_001	32417912	9571.044080284672
AML_04_001	32417914	15339.508692828016
AML_04_001	28608218	8876.23163591572
AML_04_001	28608286	72898.51909044864
AML_04_001	44524505	1615.9132715286742
AML_70_001	115256532	8191.818314022352
AML_70_001	90631934	91221.8759515031
AML_70_001	44524505	3265.364840446903
AML_22_001	115258744	1489.1214915672522
AML_22_001	115258745	8476.305807870049
AML_22_001	115258747	1006.628288512891
AML_22_001	115258748	6486.047860292767
AML_22_001	31022427	5691.2101303773525
AML_51_001	28608221	5654.204593324831
AML_51_001	28608243	9816.779666284296
AML_16_001	25457242	22005.43973060991
AML_16_001	209113112	3662.3589163915385
AML_16_001	44524505	2818.608716882506
AML_41_001	44524505	13328.769840768866
AML_69_001	25398284	3857.995335577102
AML_53_001	148504717	80930.04780778578
AML_53_001	28608251	17339.610873965677
AML_27_001	28608273	35631.7421377358
AML_52_001	28608296	25655.547659945947
AML_40_001	115258747	18276.83987099271
AML_40_001	28602340	4708.705539448361
AML_40_001	90631934	3560.486184699497
AML_06_001	148504717	121600.76999248553
AML_32_001	198266834	3487.373971418788
AML_49_001	28608262	101165.63311137838
AML_58_001	25457242	39228.22203558964
AML_74_001	32417910	4599.221498017994
AML_74_001	32417918	5611.212754680773
AML_54_001	28608224	-641.1126675009727
AML_02_001	44524505	2112.785303713967
AML_47_001	170837543	22803.720705377054
AML_34_001	198266834	63348.019508947655
AML_25_001	28608270	22106.46054522336
AML_25_001	28608290	23723.17068663161
AML_25_001	31022441	22689.387218881773
AML_75_001	170837543	9079.89968282879
AML_75_001	170837557	9117.308931426534
AML_21_001	115258747	21575.01701403943
AML_21_001	170837543	30636.23685361528
AML_21_001	32417907	61556.537216843055
AML_37_001	170837543	52833.21711596647
AML_37_001	44524505	1539.6768999230308
AML_03_001	28608271	163896.3461580719
AML_31_001	32417907	6160.899558399531
AML_20_001	115258744	22692.85228498635
AML_20_001	25457243	51435.30650229435
AML_20_001	170837543	26137.295832570784
AML_35_001	115258747	33860.08473166395
AML_35_001	44524505	1628.2316980160508
AML_73_001	28609758	4610.28318193716
AML_65_001	25457242	25902.88591295832
AML_65_001	28608274	72711.44210716986
AML_45_001	44524505	1352.067898367567
AML_19_001	28608265	81594.00982870349
AML_19_001	44524505	1876.8530897897167
AML_48_001	148504717	11051.607992374358
AML_68_001	28608275	52425.80717968779
AML_38_001	28608261	28641.29309689948
AML_38_001	28608324	2543.9445815536137
AML_39_001	198266834	1952.0672086538325
AML_39_001	148504717	39389.48796951796
AML_30_001	148504717	85460.26373224592
AML_56_001	44524505	62526.17970817728
AML_60_001	148504717	29801.209829018146
AML_60_001	31022441	5003.36617838115
AML_36_001	115258748	5283.59283654808
AML_36_001	28592640	10396.817407013536
AML_36_001	44524505	7125.78552294541
AML_43_001	28608310	120226.95854167629
AML_14_001	44524505	3811.015379660338
AML_07_001	74732959	33738.76513238237
AML_17_001	115258747	52382.02008567668
AML_17_001	44524505	1340.7232800421957
AML_28_001	28608282	6539.817147096476
AML_55_001	25457243	12765.95230051127
AML_55_001	209113113	643.6682254629038
AML_55_001	28608283	38579.77161560095
AML_55_001	74732959	4960.495651582313
AML_55_001	31022403	11257.345406129822
AML_13_001	170837543	23788.55282028703
AML_13_001	7578416	2211.58120098762
AML_13_001	44524505	2414.782166149884
AML_18_001	148504717	92202.59272214532
AML_12_001	28592635	7577.570005189706
AML_12_001	28592636	3268.005431443641
AML_12_001	44524505	3179.533854282694
AML_63_001	44524505	2015.720596756737
AML_08_001	148504717	58712.29736143192
AML_08_001	44524505	3486.7542960821343
AML_50_001	170837543	46414.90253203752
AML_50_001	44524505	33005.12084773909
AML_67_001	115258748	51747.23985307031
AML_67_001	115258749	51941.27510952162
