,0,1
0,16.589737,0.0067843003
1,-1.6050063,4.144686
2,17.338707,0.529835
3,15.066809,0.96590483
4,2.7153652,-3.4835243
5,2.6425085,11.613879
6,-3.324859,4.798519
7,-0.49328882,-0.04020044
8,-1.1695904,4.3242455
9,-4.5991054,5.6436048
10,-4.343764,5.740973
11,-1.1650134,3.1563914
12,18.34053,-1.7296504
13,3.7289436,-6.021589
14,16.4576,-0.30227375
15,16.012516,-0.8547938
16,5.849624,-2.1955593
17,2.1470835,-4.101592
18,-1.1425861,4.240886
19,5.6575317,-2.9366965
20,-2.9110496,2.184366
21,17.19177,-0.043707352
22,5.8768797,-2.2401621
23,5.9783425,-2.1674938
24,-4.729603,5.6404233
25,18.55019,-2.3218782
26,17.032717,-0.21158206
27,-0.94972193,0.03966844
28,5.029749,-2.4826405
29,3.1020105,-5.761644
30,3.1972575,-1.5038716
31,3.1549466,-5.8894305
32,-1.1409246,0.38397622
33,1.1731706,3.291346
34,17.50947,0.608037
35,3.2668896,3.58692
36,4.6200013,-2.4325247
37,-0.9796886,2.3440843
38,18.00378,-1.5974184
39,17.230808,-1.3936219
40,17.321043,0.27116862
41,4.5941663,-1.4654036
42,-2.1132846,4.8516355
43,-2.6286945,3.2950358
44,-4.804577,5.4326634
45,-4.395752,6.039075
46,17.55428,0.767042
47,-3.9994783,4.963526
48,16.74828,-1.2978371
49,6.2221613,-2.514142
50,-0.66706944,5.605546
51,3.4698522,-5.944571
52,14.151147,-0.377266
53,16.414366,0.6642343
54,5.753543,-1.8402338
55,5.374271,-1.7657157
56,18.424673,-2.2157378
57,-1.03809,-0.103265755
58,3.1685536,3.4475045
59,-0.7728806,-0.079435125
60,5.932395,-2.5713658
61,17.905159,-1.772489
62,4.0724373,-1.8029393
63,16.386534,-1.5935026
64,17.485455,0.6958177
65,-2.013671,5.2269053
66,-0.27393258,3.8146996
67,-0.8876711,3.1810505
68,-4.3593283,5.925839
69,2.8996198,-5.025138
70,3.2671633,-6.1090703
71,-0.4525927,5.643903
72,4.1152487,-1.8906267
73,-0.5842459,-0.72737783
74,15.472983,-0.04430557
