CADD	Gene_name
20.0	FLT3
28.5	FLT3
20.0	FLT3
18.59	FLT3
20.0	FLT3
20.0	FLT3
4.432	FLT3
27.6	FLT3
18.59	FLT3
20.0	FLT3
	FLT3
32.0	FLT3
20.0	FLT3
31.0	FLT3
18.53	FLT3
	FLT3
	FLT3
20.0	FLT3
20.0	FLT3
34.0	FLT3
27.6	FLT3
32.0	FLT3
20.0	FLT3
26.5	FLT3
32.0	FLT3
18.59	FLT3
20.0	FLT3
20.0	FLT3
15.02	FLT3
20.0	FLT3
32.0	FLT3
20.0	FLT3
32.0	FLT3
20.0	FLT3
20.0	FLT3
20.0	FLT3
20.0	FLT3
20.0	FLT3
10.95	FLT3
20.0	FLT3
20.0	FLT3
14.15	FLT3
18.55	FLT3
32.0	FLT3
20.0	FLT3
20.0	FLT3
	FLT3
	FLT3
20.0	FLT3
20.0	FLT3
22.3	FLT3
29.6	NRAS
22.7	NRAS
29.3	NRAS
29.6	NRAS
29.1	NRAS
33.0	NRAS
33.0	NRAS
29.3	NRAS
29.3	NRAS
33.0	NRAS
29.3	NRAS
29.6	NRAS
34.0	NRAS
29.3	NRAS
33.0	NRAS
23.5	NRAS
33.0	NRAS
29.3	NRAS
29.6	NRAS
33.0	NRAS
29.3	NRAS
29.1	NRAS
29.3	NRAS
33.0	NRAS
30.0	NRAS
29.3	NRAS
33.0	NRAS
29.6	NRAS
29.3	NRAS
29.3	NRAS
29.3	NRAS
29.6	NRAS
25.3	NRAS
29.3	NRAS
29.1	NRAS
29.1	NRAS
14.98	NRAS
29.6	NRAS
31.0	NRAS
32.0	NRAS
23.5	NRAS
32.0	NRAS
22.7	NRAS
22.7	NRAS
29.3	NRAS
28.3	NRAS
29.3	NRAS
29.3	NRAS
29.1	NRAS
29.6	NRAS
33.0	DNMT3A
13.11	DNMT3A
34.0	DNMT3A
13.11	DNMT3A
34.0	DNMT3A
34.0	DNMT3A
29.9	DNMT3A
19.96	DNMT3A
33.0	DNMT3A
13.11	DNMT3A
13.11	DNMT3A
29.9	DNMT3A
29.3	DNMT3A
29.9	DNMT3A
36.0	DNMT3A
36.0	DNMT3A
34.0	DNMT3A
9.186	DNMT3A
29.9	DNMT3A
24.9	DNMT3A
34.0	DNMT3A
39.0	DNMT3A
29.9	DNMT3A
29.9	DNMT3A
28.3	DNMT3A
28.5	DNMT3A
34.0	DNMT3A
34.0	DNMT3A
29.9	DNMT3A
29.9	DNMT3A
36.0	DNMT3A
27.3	DNMT3A
29.9	DNMT3A
35.0	DNMT3A
32.0	DNMT3A
22.0	DNMT3A
29.4	DNMT3A
29.9	DNMT3A
29.9	DNMT3A
36.0	DNMT3A
13.11	DNMT3A
29.9	DNMT3A
9.186	DNMT3A
13.11	DNMT3A
29.9	DNMT3A
15.12	EZH2
15.12	EZH2
15.12	EZH2
24.7	EZH2
29.1	EZH2
34.0	EZH2
24.7	EZH2
23.7	EZH2
24.7	EZH2
23.7	EZH2
15.12	EZH2
32.0	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
34.0	EZH2
	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
15.12	EZH2
32.0	EZH2
	EZH2
15.12	EZH2
22.0	EZH2
15.12	EZH2
35.0	NPM1
35.0	NPM1
34.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
