patient	num_loss_variants
AML_77_001	3
AML_93_001	0
AML_85_001	1
AML_111_001	0
AML_122_001	0
AML_78_001	0
AML_81_001	0
AML_89_001	2
AML_10_001	0
AML_118_001	0
AML_87_001	0
AML_11_001	0
AML_91_001	1
AML_104_001	0
AML_84_001	0
AML_103_001	0
AML_99_001	1
AML_112_001	0
AML_110_001	0
AML_120_001	0
AML_117_001	0
AML_86_001	2
AML_123_001	0
AML_95_001	2
AML_119_001	0
AML_92_001	0
AML_121_001	0
AML_83_001	1
AML_107_001	1
AML_72_001	2
AML_100_001	1
AML_114_001	2
AML_42_001	3
AML_71_001	0
AML_24_001	0
AML_116_001	0
AML_98_001	3
AML_90_001	0
AML_108_001	1
AML_115_001	0
AML_101_001	0
AML_79_001	4
AML_88_001	0
AML_109_001	3
AML_105_001	0
AML_67_001	0
AML_05_001	0
AML_102_001	0
AML_94_001	1
AML_113_001	0
AML_46_001	1
AML_106_001	0
AML_82_001	0
AML_80_001	0
