AML_name	Precision	Recall
AML_01_001	0.0	0.0
AML_02_001	0.75	0.5
AML_03_001	0.0	0.0
AML_04_001	1.0	0.16666666666666666
AML_05_001	0.06666666666666667	0.4
AML_06_001	0.5	0.3333333333333333
AML_07_001	0	0.0
AML_08_001	0.6666666666666666	1.0
AML_10_001	0.18181818181818182	0.6666666666666666
AML_11_001	0.1111111111111111	0.25
AML_12_001	0.0	0.0
AML_13_001	0.5	0.5
AML_14_001	1.0	0.1
AML_15_001	0.3333333333333333	0.3333333333333333
AML_16_001	0.0	0.0
AML_17_001	0.25	0.3333333333333333
AML_18_001	1.0	0.2
AML_19_001	1.0	0.5
AML_20_001	0.0	0.0
AML_21_001	0.0	0.0
AML_22_001	1.0	0.14285714285714285
AML_23_001	0.5	0.25
AML_24_001	0.0	0.0
AML_25_001	0.5	0.75
AML_26_001	0.3333333333333333	0.16666666666666666
AML_27_001	0.5	0.16666666666666666
AML_28_001	0.5	0.3333333333333333
AML_29_001	0.5	0.3333333333333333
AML_30_001	0.0	0.0
AML_31_001	0.0	0.0
AML_32_001	0.6666666666666666	1.0
AML_33_001	1.0	0.5
AML_34_001	0.0	0.0
AML_35_001	0.0	0.0
AML_36_001	0	0.0
AML_37_001	0.3333333333333333	0.5
AML_38_001	1.0	0.4
AML_39_001	1.0	0.5
AML_40_001	0.0	0.0
AML_41_001	0.0	0.0
AML_42_001	0.07142857142857142	0.3333333333333333
AML_43_001	0.0	0.0
AML_44_001	0.4	1.0
AML_45_001	0.5	0.25
AML_46_001	0.15	1.0
AML_47_001	0.5	1.0
AML_48_001	1.0	0.3333333333333333
AML_49_001	1.0	0.6666666666666666
AML_50_001	0.5	0.25
AML_51_001	0.5	0.2
AML_52_001	0.6666666666666666	0.6666666666666666
AML_53_001	0	0.0
AML_54_001	0	0.0
AML_55_001	0.25	0.16666666666666666
AML_56_001	0	0.0
AML_57_001	0.5	0.25
AML_58_001	1.0	0.14285714285714285
AML_59_001	0	0
AML_60_001	0.0	0.0
AML_61_001	0.0	0.0
AML_62_001	0.75	0.75
AML_63_001	0.0	0.0
AML_64_001	0.25	0.16666666666666666
AML_65_001	0.0	0.0
AML_67_001	0.2	0.3076923076923077
AML_68_001	0.0	0.0
AML_69_001	0.3333333333333333	0.25
AML_70_001	0.5	0.3333333333333333
AML_71_001	0.2777777777777778	0.8333333333333334
AML_72_001	0.13333333333333333	0.5
AML_73_001	0.5	0.16666666666666666
AML_74_001	1.0	0.2
AML_75_001	0.5	0.09090909090909091
AML_76_001	0.25	0.16666666666666666
AML_77_001	0.26666666666666666	0.5714285714285714
AML_80_001	0.10526315789473684	0.6666666666666666
AML_81_001	0.0	0.0
AML_82_001	0.15789473684210525	0.6
AML_83_001	0.08695652173913043	1.0
AML_84_001	0.16666666666666666	0.6
AML_86_001	0.04	0.25
AML_87_001	0.14285714285714285	0.6666666666666666
AML_88_001	0.047619047619047616	0.3333333333333333
AML_89_001	0	0
AML_90_001	0.5833333333333334	0.7
AML_91_001	0.08695652173913043	0.2222222222222222
AML_92_001	0.2727272727272727	0.75
AML_93_001	0.10526315789473684	1.0
AML_94_001	0	0
AML_95_001	0.0	0
AML_98_001	0.18181818181818182	0.5
AML_99_001	0.0	0.0
