patient	num_exonic_loss
AML_01_001	0
AML_02_001	0
AML_03_001	0
AML_04_001	0
AML_06_001	0
AML_07_001	0
AML_08_001	0
AML_09_001	1
AML_12_001	0
AML_13_001	0
AML_14_001	0
AML_15_001	0
AML_16_001	0
AML_17_001	0
AML_18_001	1
AML_19_001	0
AML_20_001	0
AML_21_001	0
AML_22_001	0
AML_23_001	0
AML_25_001	0
AML_26_001	0
AML_27_001	0
AML_28_001	0
AML_29_001	0
AML_30_001	0
AML_31_001	0
AML_32_001	0
AML_33_001	1
AML_34_001	0
AML_35_001	0
AML_36_001	0
AML_37_001	0
AML_38_001	0
AML_39_001	0
AML_40_001	1
AML_41_001	0
AML_43_001	0
AML_44_001	0
AML_45_001	0
AML_47_001	0
AML_48_001	0
AML_49_001	0
AML_50_001	0
AML_51_001	0
AML_52_001	0
AML_53_001	0
AML_54_001	1
AML_55_001	0
AML_56_001	0
AML_57_001	1
AML_58_001	0
AML_59_001	2
AML_60_001	0
AML_61_001	0
AML_62_001	2
AML_63_001	0
AML_64_001	1
AML_65_001	0
AML_66_001	0
AML_68_001	1
AML_69_001	0
AML_70_001	0
AML_73_001	0
AML_74_001	0
AML_75_001	0
AML_76_001	0
AML_96_001	0
AML_97_001	1
