-4912.736526489258	-16487.029998779297	-117451.83984375	-35489.29934692383	-33381.71682739258	-105938.20703125	-34620.619537353516	-36409.03396606445	-35945.46987915039	-67250.30078125	-35704.39749145508	-110492.7578125	-111433.57421875	-33519.626037597656	-102677.7890625
-5096.013488769531	-16451.420959472656	-116791.51682388783	-35278.579359948635	-33197.82606166601	-105335.12784260511	-34427.92621612549	-36545.53723144531	-36059.2950592041	-66867.35765349865	-35511.50383865833	-109874.88109391928	-110819.79596805573	-33329.77204108238	-102101.91532534361
-4717.73469543457	-16604.296752929688	-116823.78297895193	-35364.48511970043	-33362.95655822754	-105351.05913954973	-34474.560740470886	-36207.138038635254	-35737.05590248108	-66879.30533975363	-35596.97232055664	-109872.18636351824	-110818.21811050177	-33326.024867773056	-102111.36948019266
-5502.92414855957	-15922.860204815865	-115274.08798372746	-34822.53186035156	-33185.23391723633	-104029.50592666864	-34039.0884052515	-35768.370727181435	-35324.06749224663	-66084.46318000555	-35046.50498402119	-108574.00679546595	-109356.52371621132	-32927.72663092613	-100802.4729360938
-5140.994094848633	-16412.341346025467	-114384.7346817255	-34546.12587094307	-32409.5983427763	-103142.23290330172	-33708.13822162151	-35451.20822548866	-34998.69724333286	-65488.28734624386	-34769.05153763294	-107522.72907412052	-108504.50414258242	-32657.586443543434	-99952.63206934929
-6194.248794555664	-16204.501545548439	-112563.23900341988	-34550.468101263046	-32989.1949647069	-101483.08284044266	-33796.89395070076	-34862.92977720499	-34419.358488976955	-64439.1508384943	-34716.08822131157	-105747.60651433468	-106814.83666962385	-32157.01647591591	-98395.18960255384
-6986.789779663086	-16895.639373779297	-109350.6758556366	-33048.6098729372	-31173.574370265007	-98719.59013140202	-32241.602991104126	-33885.40305733681	-33432.18541717529	-62565.13611704111	-33240.27477312088	-103014.08569812775	-103706.51417887211	-31281.882845044136	-95607.5302695632
-7306.858444213867	-16454.076873779297	-108335.14042031765	-32800.02210664749	-30886.735658049583	-97713.21996855736	-31961.660224616528	-33607.44359123707	-33147.45575541258	-61943.389087855816	-32943.34867358208	-102127.24624174833	-102648.81600022316	-30965.117718338966	-94704.68348354101
-1053.3354713320732	-18359.21031188965	-104351.27766424417	-31595.03563684225	-29783.374479949474	-94259.8851814866	-30834.800368487835	-32449.810997486115	-32041.199497938156	-59782.93421405554	-31866.22142702341	-98301.64435470104	-99147.62407392263	-29889.28366816044	-91362.63756549358
-858.3336402773857	-18476.47706604004	-103723.2207994461	-31470.221409618855	-29764.614210784435	-93672.73728978634	-30688.741571605206	-32247.915070056915	-31832.785521268845	-59411.938772559166	-31758.796256124973	-97681.07290571928	-98532.2679656744	-29695.68249833584	-90796.21798318624
-9047.177474975586	-15456.445526123047	-101707.48502379656	-30870.77437454462	-29032.333107590675	-91810.73902630806	-30033.223760843277	-31628.2071338892	-31259.130077004433	-58242.33067959547	-30944.528602957726	-95909.7760951519	-96344.24719423056	-29125.059467315674	-88845.12834638357
